30000 30000
23793 25247 1073741823
6422 15356 1073741823
12945 15932 1073741823
1170 21200 1073741823
5053 28813 1073741823
19867 23223 1073741823
498 26326 1073741823
26588 28761 1073741823
10721 10978 1073741823
24531 28791 1073741823
26596 27381 1073741823
3034 11776 1073741823
20081 22753 1073741823
10377 13769 1073741823
23807 25687 1073741823
42 671 1073741823
793 10292 1073741823
9837 22905 1073741823
9122 18444 1073741823
7262 14184 1073741823
25736 26633 1073741823
28819 29812 1073741823
1147 22625 1073741823
12202 22249 1073741823
9488 21355 1073741823
14579 22111 1073741823
23105 24052 1073741823
19305 25205 1073741823
16135 19420 1073741823
24295 27699 1073741823
14379 28258 1073741823
7576 15820 1073741823
22872 25162 1073741823
4528 23392 1073741823
8310 10999 1073741823
23385 27797 1073741823
1539 3473 1073741823
752 2754 1073741823
19170 22595 1073741823
15218 21852 1073741823
23177 27222 1073741823
10545 13993 1073741823
1541 5049 1073741823
204 12162 1073741823
14993 20269 1073741823
4701 14781 1073741823
26551 29536 1073741823
5364 24719 1073741823
23110 28481 1073741823
17989 23540 1073741823
12213 15797 1073741823
12957 15200 1073741823
29415 29970 1073741823
14619 22569 1073741823
25087 27197 1073741823
8220 20937 1073741823
18037 21132 1073741823
19959 23215 1073741823
4970 22431 1073741823
1211 9255 1073741823
15928 20877 1073741823
26965 27085 1073741823
1358 4921 1073741823
3366 13901 1073741823
6459 8805 1073741823
5013 26922 1073741823
23560 25422 1073741823
16913 29579 1073741823
10955 15372 1073741823
11130 11182 1073741823
25977 27113 1073741823
5776 19747 1073741823
10492 15318 1073741823
10412 17669 1073741823
28549 28762 1073741823
10414 23588 1073741823
2852 5526 1073741823
28214 28764 1073741823
11926 20732 1073741823
20759 22684 1073741823
814 1635 1073741823
11528 12142 1073741823
13335 17425 1073741823
19869 24286 1073741823
17928 27760 1073741823
22134 27371 1073741823
29945 29976 1073741823
1671 29226 1073741823
1605 3546 1073741823
7863 15036 1073741823
24625 29454 1073741823
8957 27672 1073741823
9852 15703 1073741823
3944 26105 1073741823
1335 15234 1073741823
20397 25158 1073741823
7639 23129 1073741823
10759 20188 1073741823
19081 22109 1073741823
15657 27032 1073741823
11205 15460 1073741823
6776 29727 1073741823
13350 17940 1073741823
20599 29992 1073741823
9849 22601 1073741823
1106 5505 1073741823
14868 16109 1073741823
8896 8948 1073741823
22889 24017 1073741823
8019 22718 1073741823
11994 21419 1073741823
7121 29920 1073741823
29647 29891 1073741823
1528 28835 1073741823
13830 21981 1073741823
7325 12566 1073741823
1835 26655 1073741823
15334 19452 1073741823
19113 19869 1073741823
14777 28065 1073741823
5567 8915 1073741823
26228 28201 1073741823
21974 26213 1073741823
1503 23609 1073741823
12562 25581 1073741823
21599 22702 1073741823
21799 27821 1073741823
27756 28799 1073741823
10350 16217 1073741823
8260 8455 1073741823
4408 11237 1073741823
7137 9812 1073741823
18274 24697 1073741823
25385 29759 1073741823
25641 29499 1073741823
102 13571 1073741823
9280 27943 1073741823
453 772 1073741823
4128 19339 1073741823
20034 28391 1073741823
2416 21384 1073741823
18676 23287 1073741823
9669 15367 1073741823
7268 13682 1073741823
11739 14069 1073741823
15444 16163 1073741823
1428 13081 1073741823
3806 28623 1073741823
8081 24353 1073741823
7338 14505 1073741823
12367 25931 1073741823
4452 10376 1073741823
26147 29375 1073741823
8301 12026 1073741823
18842 25910 1073741823
8657 27448 1073741823
22330 25020 1073741823
1610 13455 1073741823
21085 26314 1073741823
10915 22231 1073741823
14911 20196 1073741823
399 18422 1073741823
5461 25831 1073741823
28026 28598 1073741823
1760 5576 1073741823
22736 23318 1073741823
25283 26151 1073741823
2157 3242 1073741823
13201 22513 1073741823
15428 17641 1073741823
26347 28762 1073741823
19061 29637 1073741823
5129 20595 1073741823
20057 27115 1073741823
4246 17517 1073741823
14863 25420 1073741823
18369 22518 1073741823
1580 2767 1073741823
1937 13422 1073741823
21406 24671 1073741823
14456 29029 1073741823
27650 29130 1073741823
13100 13133 1073741823
1223 4493 1073741823
10418 20423 1073741823
2019 4119 1073741823
20667 26351 1073741823
13844 23419 1073741823
21044 24011 1073741823
2041 28725 1073741823
6681 9470 1073741823
4498 6027 1073741823
5258 9684 1073741823
6437 11870 1073741823
1776 27741 1073741823
307 21244 1073741823
13185 18899 1073741823
3754 26584 1073741823
23858 26902 1073741823
24412 24779 1073741823
9645 9891 1073741823
9392 14932 1073741823
29620 29886 1073741823
359 26291 1073741823
29412 29810 1073741823
21186 23007 1073741823
11405 15224 1073741823
7187 22252 1073741823
8897 25986 1073741823
11857 14417 1073741823
8619 12021 1073741823
23071 24981 1073741823
15138 18568 1073741823
23855 24327 1073741823
8318 16341 1073741823
10931 23543 1073741823
20139 21942 1073741823
6164 15191 1073741823
16508 24684 1073741823
16871 27607 1073741823
6977 27830 1073741823
15645 18019 1073741823
2459 27950 1073741823
26745 27721 1073741823
14479 25501 1073741823
29256 29355 1073741823
10970 22359 1073741823
26188 29558 1073741823
22148 27162 1073741823
22521 24136 1073741823
16568 28771 1073741823
1972 28582 1073741823
3027 9544 1073741823
19320 23579 1073741823
11195 18518 1073741823
29162 29974 1073741823
13426 16314 1073741823
14704 26261 1073741823
443 23246 1073741823
10670 26938 1073741823
24604 25168 1073741823
113 20996 1073741823
20052 26244 1073741823
20896 26902 1073741823
20687 26026 1073741823
25456 27132 1073741823
1416 27988 1073741823
6870 18418 1073741823
2382 17769 1073741823
3138 29264 1073741823
11802 24597 1073741823
1162 24694 1073741823
27552 27952 1073741823
7716 9672 1073741823
15908 19232 1073741823
13977 26758 1073741823
26511 26905 1073741823
22582 24164 1073741823
18114 19797 1073741823
27653 28481 1073741823
14634 25628 1073741823
18428 22431 1073741823
14996 22891 1073741823
28019 28551 1073741823
14147 17108 1073741823
3036 15144 1073741823
17472 18237 1073741823
7086 17793 1073741823
12786 16967 1073741823
9634 11353 1073741823
11502 11667 1073741823
2594 7112 1073741823
24848 25917 1073741823
23806 24729 1073741823
21195 24062 1073741823
10594 17292 1073741823
25277 29179 1073741823
12805 19868 1073741823
12167 25906 1073741823
418 27936 1073741823
18907 21819 1073741823
24492 27458 1073741823
28375 28910 1073741823
2062 6049 1073741823
15505 25904 1073741823
28241 29509 1073741823
5363 10682 1073741823
17201 29787 1073741823
8905 12828 1073741823
22066 23557 1073741823
13592 17468 1073741823
8606 9363 1073741823
25777 29657 1073741823
12787 25384 1073741823
14343 22912 1073741823
2123 29584 1073741823
14654 28762 1073741823
284 29053 1073741823
12932 22406 1073741823
4897 18942 1073741823
1188 13167 1073741823
1384 28608 1073741823
19416 20394 1073741823
9390 24900 1073741823
18143 20648 1073741823
28472 29735 1073741823
13392 19426 1073741823
4259 8316 1073741823
6702 26599 1073741823
15406 20394 1073741823
11196 24995 1073741823
22102 27078 1073741823
16787 28601 1073741823
19858 29017 1073741823
6129 29303 1073741823
27457 29761 1073741823
18260 21174 1073741823
12513 26169 1073741823
11080 14915 1073741823
5505 10768 1073741823
11133 17224 1073741823
14201 21002 1073741823
6940 9864 1073741823
22104 25413 1073741823
8795 18556 1073741823
10526 12209 1073741823
26192 28484 1073741823
25772 29953 1073741823
25346 25669 1073741823
1656 18584 1073741823
11206 22209 1073741823
14213 18416 1073741823
1481 24756 1073741823
23443 25524 1073741823
4329 13273 1073741823
8339 10753 1073741823
29385 29807 1073741823
8797 9879 1073741823
14372 23019 1073741823
373 4077 1073741823
24673 28589 1073741823
13611 20963 1073741823
18280 18473 1073741823
20531 25483 1073741823
25013 25715 1073741823
20789 24693 1073741823
2426 11474 1073741823
19925 21206 1073741823
1322 29464 1073741823
10517 14916 1073741823
24163 24694 1073741823
29898 29930 1073741823
747 7576 1073741823
1869 19704 1073741823
24079 27036 1073741823
6514 22070 1073741823
1592 15960 1073741823
190 12602 1073741823
12975 24555 1073741823
22996 26609 1073741823
17873 22783 1073741823
14129 19452 1073741823
9542 28328 1073741823
10265 14809 1073741823
20127 28928 1073741823
11217 19303 1073741823
1071 29273 1073741823
25871 29256 1073741823
1548 4648 1073741823
8623 8795 1073741823
25478 26353 1073741823
2727 24254 1073741823
24215 28643 1073741823
4157 12533 1073741823
4042 6362 1073741823
26232 26337 1073741823
23425 28071 1073741823
9684 18049 1073741823
14402 29905 1073741823
25657 28363 1073741823
12114 21461 1073741823
23086 25221 1073741823
19333 25408 1073741823
26699 28012 1073741823
27220 28765 1073741823
4332 21836 1073741823
9008 15323 1073741823
14893 24295 1073741823
14614 23416 1073741823
19474 19977 1073741823
19044 27614 1073741823
2517 22716 1073741823
13035 22330 1073741823
28294 29137 1073741823
21573 22865 1073741823
17438 17936 1073741823
14440 26820 1073741823
3732 15318 1073741823
17020 17132 1073741823
6500 19559 1073741823
25066 29943 1073741823
22637 26546 1073741823
1670 23327 1073741823
15338 20191 1073741823
2270 28510 1073741823
163 1630 1073741823
21027 26990 1073741823
20581 24548 1073741823
8247 9783 1073741823
18095 26912 1073741823
6647 16482 1073741823
11694 28327 1073741823
16140 19529 1073741823
1899 10627 1073741823
20461 22126 1073741823
14148 18014 1073741823
25335 25646 1073741823
24473 26770 1073741823
20415 29462 1073741823
18375 24278 1073741823
25767 28697 1073741823
24154 29886 1073741823
6831 12195 1073741823
11134 17471 1073741823
15246 23997 1073741823
18359 29082 1073741823
11778 15149 1073741823
10962 18386 1073741823
23652 29937 1073741823
26396 26986 1073741823
27007 28147 1073741823
9425 14514 1073741823
10146 29819 1073741823
29143 29752 1073741823
1524 10639 1073741823
14764 15225 1073741823
26632 28703 1073741823
1134 1452 1073741823
7089 28462 1073741823
1338 17098 1073741823
24856 27186 1073741823
28422 29634 1073741823
14603 23095 1073741823
26995 27989 1073741823
28056 28158 1073741823
13325 14262 1073741823
2267 4900 1073741823
26869 27885 1073741823
11796 14542 1073741823
16017 18158 1073741823
2300 23996 1073741823
4482 14214 1073741823
18266 25268 1073741823
19158 26316 1073741823
20689 25501 1073741823
335 1391 1073741823
12540 12989 1073741823
7684 10963 1073741823
26557 27424 1073741823
15223 17880 1073741823
5073 7030 1073741823
22695 24829 1073741823
11176 15684 1073741823
11926 13169 1073741823
14452 18118 1073741823
22830 25116 1073741823
18305 28547 1073741823
29487 29849 1073741823
1476 16316 1073741823
11884 13169 1073741823
14774 29953 1073741823
15415 28052 1073741823
3939 7355 1073741823
6682 19956 1073741823
27325 28160 1073741823
5832 27966 1073741823
13367 15928 1073741823
9042 20416 1073741823
21391 23692 1073741823
17566 20857 1073741823
19691 26700 1073741823
14614 23994 1073741823
13352 24985 1073741823
9885 19061 1073741823
27247 28139 1073741823
25799 29673 1073741823
23049 29866 1073741823
14153 24651 1073741823
9332 21359 1073741823
3246 29781 1073741823
390 13966 1073741823
5452 24327 1073741823
705 27636 1073741823
18039 22141 1073741823
1592 2899 1073741823
7668 20694 1073741823
13729 29400 1073741823
14768 15406 1073741823
17819 28964 1073741823
6066 6076 1073741823
130 17676 1073741823
4687 19366 1073741823
14705 24680 1073741823
27805 29758 1073741823
23640 25278 1073741823
810 9002 1073741823
17486 20141 1073741823
29933 29941 1073741823
19496 26717 1073741823
22652 24768 1073741823
19786 24559 1073741823
20864 23502 1073741823
189 9942 1073741823
6758 15020 1073741823
338 19707 1073741823
22104 23114 1073741823
5926 9867 1073741823
16236 25762 1073741823
25495 26857 1073741823
1307 9429 1073741823
26422 28257 1073741823
28404 29233 1073741823
4141 10060 1073741823
6033 17633 1073741823
25091 29351 1073741823
21451 28428 1073741823
13934 27835 1073741823
6698 16111 1073741823
104 2862 1073741823
2415 15669 1073741823
17796 19019 1073741823
5750 12191 1073741823
16771 25387 1073741823
22662 23746 1073741823
26658 28597 1073741823
19883 20279 1073741823
14647 17906 1073741823
9590 18150 1073741823
6908 21580 1073741823
802 10578 1073741823
11947 21860 1073741823
5834 28313 1073741823
21323 25073 1073741823
22234 24196 1073741823
19145 29163 1073741823
28100 29107 1073741823
13642 29144 1073741823
12276 24532 1073741823
22208 26932 1073741823
11781 26601 1073741823
23227 23295 1073741823
14133 21478 1073741823
2691 3710 1073741823
24598 29864 1073741823
10595 27741 1073741823
24967 29021 1073741823
27463 27903 1073741823
25571 26158 1073741823
14730 25660 1073741823
2680 2847 1073741823
14857 26722 1073741823
21307 26702 1073741823
19580 23562 1073741823
7865 25975 1073741823
29190 29631 1073741823
29777 29899 1073741823
21258 23497 1073741823
22177 27632 1073741823
22337 23526 1073741823
15422 17066 1073741823
1033 3335 1073741823
168 21036 1073741823
5376 21446 1073741823
24957 25126 1073741823
722 20992 1073741823
23532 28296 1073741823
27727 28216 1073741823
2365 16282 1073741823
5569 26408 1073741823
687 12222 1073741823
29308 29650 1073741823
17362 22180 1073741823
27830 29100 1073741823
25815 27788 1073741823
24473 26579 1073741823
15189 22444 1073741823
615 6979 1073741823
21101 22261 1073741823
27902 29158 1073741823
6655 23998 1073741823
19660 23803 1073741823
5662 10000 1073741823
17348 27033 1073741823
8898 27977 1073741823
8129 8613 1073741823
8125 18081 1073741823
1563 24755 1073741823
6385 20481 1073741823
18280 19785 1073741823
16063 18611 1073741823
10164 16842 1073741823
17091 28041 1073741823
21684 24796 1073741823
27838 29632 1073741823
824 2523 1073741823
1699 26433 1073741823
14623 24944 1073741823
10231 18947 1073741823
26255 26928 1073741823
22435 27096 1073741823
2037 25195 1073741823
24011 25413 1073741823
29594 29945 1073741823
21524 21557 1073741823
1735 3746 1073741823
25922 29014 1073741823
650 3263 1073741823
7151 8677 1073741823
28681 28755 1073741823
2435 6784 1073741823
102 1953 1073741823
22880 26751 1073741823
28020 29747 1073741823
9309 13124 1073741823
16090 16667 1073741823
6262 10300 1073741823
17557 19231 1073741823
18626 21426 1073741823
1682 7713 1073741823
14757 28739 1073741823
21116 29639 1073741823
2070 4383 1073741823
23507 27328 1073741823
29763 29953 1073741823
8766 16846 1073741823
1700 16638 1073741823
4642 15005 1073741823
26894 29378 1073741823
4979 10298 1073741823
16953 21641 1073741823
1434 4160 1073741823
17572 28292 1073741823
4280 5178 1073741823
4232 26456 1073741823
9051 9559 1073741823
29194 29582 1073741823
22062 29488 1073741823
20404 23864 1073741823
9253 15404 1073741823
23846 25742 1073741823
18426 19367 1073741823
26121 27742 1073741823
2449 13331 1073741823
17733 29233 1073741823
22723 29180 1073741823
23668 29752 1073741823
3209 11368 1073741823
8086 9521 1073741823
55 12596 1073741823
2310 11726 1073741823
2028 29611 1073741823
2477 18932 1073741823
16774 19855 1073741823
18805 21823 1073741823
25819 26196 1073741823
19456 21186 1073741823
16869 17878 1073741823
19867 25184 1073741823
23406 28873 1073741823
27757 28935 1073741823
28429 29821 1073741823
29172 29601 1073741823
10815 27059 1073741823
20659 22144 1073741823
13753 16501 1073741823
10788 22340 1073741823
2813 6750 1073741823
28916 28967 1073741823
18476 24969 1073741823
1599 3411 1073741823
235 15487 1073741823
6714 15430 1073741823
29864 29992 1073741823
1856 2701 1073741823
335 26295 1073741823
16622 18879 1073741823
3064 5696 1073741823
9635 14344 1073741823
19987 26880 1073741823
25442 26233 1073741823
22503 24498 1073741823
4043 19434 1073741823
2087 25488 1073741823
1817 20160 1073741823
8647 28139 1073741823
6796 14925 1073741823
29709 29863 1073741823
1338 24583 1073741823
18667 26068 1073741823
225 2893 1073741823
3468 8509 1073741823
2353 27926 1073741823
26925 28570 1073741823
15976 20327 1073741823
13870 19969 1073741823
18189 22422 1073741823
4457 8908 1073741823
1201 14015 1073741823
29634 29920 1073741823
25619 27329 1073741823
2559 3400 1073741823
2691 19731 1073741823
16091 17905 1073741823
11881 23731 1073741823
11093 15117 1073741823
19559 27905 1073741823
24910 28257 1073741823
28572 29068 1073741823
17491 25985 1073741823
10026 17157 1073741823
25784 29314 1073741823
20251 23233 1073741823
4326 8197 1073741823
19535 20356 1073741823
4341 15297 1073741823
17593 21076 1073741823
16510 20724 1073741823
10188 16532 1073741823
1402 3171 1073741823
6959 8816 1073741823
3215 8212 1073741823
8120 18052 1073741823
8637 10382 1073741823
664 19131 1073741823
24339 29590 1073741823
28371 28943 1073741823
8152 12252 1073741823
13044 16489 1073741823
2311 5838 1073741823
3838 18138 1073741823
26345 26584 1073741823
7845 15334 1073741823
2281 3537 1073741823
13246 20989 1073741823
4005 7286 1073741823
13557 15925 1073741823
24897 25313 1073741823
21694 28377 1073741823
14336 18798 1073741823
13454 17260 1073741823
2533 7242 1073741823
18506 24427 1073741823
29110 29970 1073741823
3584 12344 1073741823
12403 18486 1073741823
28117 29464 1073741823
16582 27267 1073741823
22078 29577 1073741823
10987 19991 1073741823
26739 27417 1073741823
10737 19186 1073741823
18721 18898 1073741823
8722 9997 1073741823
26975 27229 1073741823
20800 25267 1073741823
23524 25701 1073741823
28160 29522 1073741823
2679 10523 1073741823
10363 16395 1073741823
24486 25885 1073741823
16850 24083 1073741823
14523 19726 1073741823
11699 14298 1073741823
13292 25033 1073741823
29226 29355 1073741823
11986 18318 1073741823
14777 19642 1073741823
2333 17910 1073741823
19370 26682 1073741823
2645 14066 1073741823
24228 29478 1073741823
13060 17992 1073741823
1101 4147 1073741823
12354 26105 1073741823
22095 28049 1073741823
2897 15787 1073741823
1694 20939 1073741823
25498 27148 1073741823
216 14997 1073741823
25623 29014 1073741823
11854 28019 1073741823
5059 7104 1073741823
29475 29903 1073741823
2639 25563 1073741823
24242 25931 1073741823
23831 28817 1073741823
5461 7288 1073741823
22612 25390 1073741823
29491 29995 1073741823
22675 29672 1073741823
20825 25139 1073741823
22630 27425 1073741823
8461 18491 1073741823
1625 21871 1073741823
20830 29948 1073741823
503 23068 1073741823
13056 28461 1073741823
18478 22036 1073741823
20055 21302 1073741823
17953 19890 1073741823
24530 27145 1073741823
27645 29020 1073741823
28282 28416 1073741823
20030 29941 1073741823
12491 19016 1073741823
18002 28525 1073741823
13250 22104 1073741823
29262 29440 1073741823
775 12981 1073741823
23776 29187 1073741823
1341 18185 1073741823
24964 29080 1073741823
22504 25740 1073741823
8443 22147 1073741823
1918 19122 1073741823
6650 6821 1073741823
22449 23880 1073741823
14879 25191 1073741823
10044 15809 1073741823
1528 7114 1073741823
3052 4975 1073741823
24679 26490 1073741823
23473 24879 1073741823
26737 27434 1073741823
19445 28839 1073741823
18199 24063 1073741823
6956 11388 1073741823
1639 9459 1073741823
893 10802 1073741823
5907 7831 1073741823
7872 8212 1073741823
18241 27734 1073741823
21240 23847 1073741823
1077 23294 1073741823
16579 17076 1073741823
10620 17005 1073741823
25151 27928 1073741823
12730 21641 1073741823
27471 29914 1073741823
11831 17421 1073741823
27375 29161 1073741823
18662 29421 1073741823
5828 20824 1073741823
454 1023 1073741823
29943 29996 1073741823
18268 28295 1073741823
22596 25932 1073741823
29536 29695 1073741823
25166 29322 1073741823
2695 7916 1073741823
54 1488 1073741823
1953 19582 1073741823
5483 27090 1073741823
26932 27587 1073741823
18628 27832 1073741823
6921 22224 1073741823
10188 16439 1073741823
2613 3842 1073741823
5213 28270 1073741823
5242 23824 1073741823
12400 21049 1073741823
29375 29703 1073741823
15411 29199 1073741823
10174 24114 1073741823
6748 25677 1073741823
18173 23139 1073741823
28349 29831 1073741823
10239 10845 1073741823
2841 21988 1073741823
22971 23468 1073741823
7735 29640 1073741823
27213 29281 1073741823
22836 24685 1073741823
22252 26758 1073741823
2541 12866 1073741823
14364 15496 1073741823
4798 11820 1073741823
2292 24970 1073741823
5812 19232 1073741823
20931 25879 1073741823
5066 26001 1073741823
27935 28411 1073741823
22914 24807 1073741823
254 3897 1073741823
11505 23460 1073741823
1288 5756 1073741823
22992 26121 1073741823
15213 16797 1073741823
22993 27754 1073741823
7923 16298 1073741823
1583 15894 1073741823
21778 29077 1073741823
1929 28515 1073741823
29300 29575 1073741823
704 9935 1073741823
